timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch,cost,cal_cost
122418,122,CTR,4.83,0,0,57.07317073,418,1,0,1,0,0.32,0.405854
123418,123,CTR,4.88,0,0,56.68292683,418,1,0,1,0,0.32,0.406634
124418,124,CTR,4.62,0,0,56.29268293,418,1,0,1,0,0.32,0.407415
125418,125,CTR,4.43,0,0,55.90243902,418,1,0,1,0,0.32,0.408195
126418,126,CTR,4.9,0,0,55.51219512,418,1,0,1,0,0.32,0.408976
127418,127,CTR,4.93,0,0,55.12195122,418,1,0,1,0,0.32,0.409756
128418,128,CTR,4.35,0,0,54.73170732,418,1,0,1,0,0.32,0.410537
129418,129,CTR,3.95,0,0,54.34146341,418,1,0,1,0,0.32,0.411317
130418,130,CTR,4.56,0,0,53.95121951,418,1,0,1,0,0.32,0.412098
131418,131,CTR,4.09,0,0,53.56097561,418,1,0,1,0,0.32,0.412878
132418,132,CBC,3.47,0,0,53.17073171,418,1,0,1,0,0.32,0.517073
133418,133,CBC,2.43,0,0,52.7804878,418,1,0,1,0,0.32,0.518049
134418,134,CBC,1.7,0,0,52.3902439,418,1,0,1,0,0.32,0.519024
135418,135,CBC,1.19,0,0,52,418,1,0,1,0,0.32,0.52
136418,136,CBC,1.13,0,0,51.6097561,418,1,0,1,0,0.32,0.520976
137418,137,CBC,1.09,0,0,51.2195122,418,1,0,1,0,0.32,0.521951
138418,138,CBC,1.06,0,0,50.82926829,418,1,0,1,0,0.32,0.522927
139418,139,CBC,0.75,0,0,50.43902439,418,1,0,1,0,0.32,0.523902
140418,140,CBC,1.12,0,0,50.04878049,418,1,0,1,0,0.32,0.524878
141418,141,CBC,1.69,0,0,49.65853659,418,1,0,1,0,0.32,0.525854
142418,142,CBC,2.08,0,0,49.26829268,418,1,0,1,0,0.32,0.526829
143418,143,CBC,1.76,0,0,48.87804878,418,1,0,1,0,0.32,0.527805
144418,144,CBC,1.53,0,0,48.48780488,418,1,0,1,0,0.32,0.52878
145418,145,CBC,1.37,0,0,48.09756098,418,1,0,1,0,0.32,0.529756
146418,146,CBC,0.36,0,0,47.70731707,418,1,0,1,0,0.32,0.530732
147418,147,CBC,-0.65,0,0,47.31707317,418,1,0,1,0,0.32,0.531707
148418,148,CBC,-1.95,0,0,46.92682927,418,1,0,1,0,0.32,0.532683
149418,149,CBC,-2.57,0,0,46.53658537,418,1,0,1,0,0.32,0.533659
150418,150,CBC,-3,0,0,46.14634146,418,1,0,1,0,0.32,0.534634
